"position","flight case","artist","title","musicbrainz"
1,"a","adolescents","adolescents","7de8ca72-df4d-3f0c-8e38-d3281429e9d1"
2,"a","afi","all hallows ep","78bd4301-133a-47a2-bc0e-3671bdf2c5c5"
3,"a","alice in chains","face lift (live)","92f43d79-4305-4827-9842-b0dd1daec51a"
4,"a","Isabella Antena","Issie Does It","1e883c0f-e68e-4292-8bc7-b22b194ffd26"
5,"a","Avalanches","Wild Flower","e599f8ea-974a-46d6-948c-104c41ba3353"
6,"a","Courtney Barnett","Tell me how you really feel","a4553770-4023-4193-9d07-f8a9f2760309"
7,"a","Count Basie","The Atomic Mr Basie","9386b7f3-f142-4982-be46-4c3607c0b936"
8,"a","Bon Jovi","Bon Jovi","a8d6c67b-81a1-4cdb-bc35-3112766d9a45"
9,"a","Bon Jovi","Slippery When Wet","57d331eb-c8a3-404d-bd08-448fe37476d0"
10,"a","Bon Jovi","7800 Fahrenhite","3017e4f4-1faa-4367-adac-f1bd9e8f8b37"
11,"a","Bon Jovi","New Jersey","d26b1f3b-9657-4cac-acb8-1f65859fbc42"
12,"a","Bon Jovi","These Days","3ff268eb-abe1-4559-acc2-fec0168823d8"
13,"a","Bon Jovi","Keep The Faith","d99f0aa7-680e-4c4a-98c7-1cde4673bd45"
14,"a","Bon Jovi","Crush","9ca3dfc8-f81e-4779-8668-9cfbd04a1376"
15,"a","Bon Jovi","Have A Nice Day","6c63c168-6ab3-4f4c-9d66-3d26b9a5a5bb"
16,"a","Bon Jovi","Lost Highway","71de3ad4-a2e6-37b5-93e3-2849b774414d"
17,"a","Bon Jovi","The Circle","ede58ebd-8d99-31ea-a374-f698e8e69b60"
18,"a","Bon Jovi","What About Now","43811202-b77e-4f4d-bf49-911fb7f336bd"
19,"a","Bon Jovi","Burning Bridges","97aaf64c-6543-466c-9153-9a9a50b4feb6"
20,"a","Bon Jovi","This House Is Not For Sale","9fbbaf19-90d4-4b72-be75-31d06e878d60"
21,"a","Bon Jovi","Blaze of Glory","6119820e-5288-424c-81ba-2ed3e848f902"
22,"a","Bon Jovi","Destination Anywhere","92c7d958-93b9-448b-9599-940544375be5"
23,"a","Bon Jovi","Extras",
24,"a","Bon Jovi","Bounce","a33d08ca-1f62-35f2-88b9-7579617e1784"
25,"a","David Bowie","David Bowie","767ee61d-6395-4ba9-bf79-ab0bf6701669"
26,"a","David Bowie","The Man Who Sold The World","a755977c-6265-4db1-9100-50e71b5ffa73"
27,"a","David Bowie","Hunky Dory","4800c809-f22f-4aee-8533-d3fb5884ac5f"
28,"a","David Bowie","Rise and Fall Of Ziggy Stardust (orig. mix)","7dc5edce-ead6-41e4-9c4b-240223c9bab0"
29,"a","David Bowie","Live Santa Monica ‘72","f3d5a72d-d534-4d28-bf63-3461bf5ab3bc"
30,"a","David Bowie","Aladdin Sane","6e1e07e6-1d9d-4c09-bef5-0a81d89df7f9"
31,"a","David Bowie","Pin Ups","a7f20cba-a916-4ca5-9add-599f5e431a46"
32,"a","David Bowie","Rise and Fall Of Ziggy Stardust (2003 mix)","87ebe410-10d3-47b5-ae73-92682a7e01cd"
33,"a","David Bowie","Ziggy Stardust, The Motion Picture","86e0d30f-0163-469e-b9b7-bfb6dfb9f23d"
34,"a","David Bowie","Recall 1","e76dd3ca-4feb-46c9-9417-760654eeeb35"
35,"a","Dave Brubeck","Take Five","cb2707cd-3da1-43f7-ac24-af9b8798199a"
36,"a","Can","Burg Norvenich",
37,"a","Butthole Surfers","Locust Abortion Technician","330f0201-0e03-4338-8543-b3938924ab2c"
38,"a","Butthole Surfers","Independent Worm Saloon","9f426c19-9491-465e-9bae-e34331409eb8"
39,"a","Butthole Surfers","Hairway to Steven","7753893c-f854-382a-9ade-18413af39f33"
40,"a","Loyle Carner","Yesterdays Gone","6eb77162-98b4-4758-8f7e-80ba050cbf9d"
41,"a","Johnny Cash","Live at Folsom","89efce77-e3a9-4a7d-8be7-0eadfbdfa28e"
42,"a","Nick Cave and the Bad Seeds","The Boatmans Call","b5759617-0e1e-4fea-a038-bf3f0811e3de"
43,"a","Neneh Cherry","Broken Politics","5a9d183d-e08b-4857-835a-760de17a25f8"
44,"a","John Coltrane","Blue Train","4ca248f9-8f10-462b-a3bd-6ff48f25f151"
45,"a","Ice Cube","Death Certificate","3357d8bc-0e18-4cf6-a045-6f2765d004c6"
46,"a","The Damned","Machine Gun Etiquette","2f803106-a53a-49f4-8b9c-991a38a1b3b8"
47,"a","Greatful Dead","Greatful Dead","945a2f1c-c899-4688-92db-b1759dfbf41c"
48,"a","Greatful Dead","American Beauty","193be930-94f7-340a-9131-70185d22d238"
49,"a","Greatful Dead","Workingmans Dead","4622fce5-c115-43dc-ad19-511a8b808127"
50,"a","Nick Drake","Pink Moon","c356465b-656b-4081-b474-dda0d08018a5"
51,"a","Erasure","The Innocents","0442e79e-0086-4ed8-99a9-4ab266250be8"
52,"a","Ella Fitzgerald","Gold","df8ac6e8-730f-4d27-88dd-0d14b226a885"
53,"a","Ghum","The Coldest Fire","cecfe03d-69e4-4c8b-9c7a-b70f82e69fc7"
54,"a","Handel","Water Music Suite","20cd876b-9a5f-480d-b1ae-c7cc926be625"
55,"a","Honeyblood","Babes Never Die","f07896cf-e9c5-47f2-b339-aa5424b9093e"
56,"a","PJ Harvey","Hope Six Demolition Project","a07b92b0-19a1-438c-857b-926682d025fc"
57,"b","Jesus Jones","Doubt","14a44ee8-e0b3-4047-bb05-0b5fa10fe744"
58,"b","Janis Joplin","Pearl","72771116-bbfe-494f-ba38-68a6c9de0d95"
59,"b","KLF","What Time is Love? (Live at transcentral)","75574e7f-73a2-40c9-bf41-4b71da464b12"
60,"b","Less Than Jake","GNV FLA","8581613e-f241-303b-bbed-786ddf01f2a8"
61,"b","Longpig","Of Love and Addiction","168aaec3-f504-4eba-8c5e-a6d67f74bf4c"
62,"b","Love","Forever Changes","b5637980-61b2-4bb4-b12c-ddea739eaad6"
63,"b","Iron Maiden","Iron Maiden","0137cfe7-16fa-4413-9a44-15929edd03a3"
64,"b","Iron Maiden","Number of the Beast","5aa782e6-d87a-3ec1-af46-ff68c76cf8fc"
65,"b","Iron Maiden","Seventh Son of a Seventh Son","6e435895-dc69-4215-bb4c-5274c7ccf70d"
66,"b","Dean Martin","The Platinum Collection","da2aad43-e866-4aad-8c13-17c140bddf35"
67,"b","Massive Attack","Ritual Spirit","6d568c02-9698-4f23-aa79-9b540675e68f"
68,"b","Mazzy Star","Among my Swan","3ee6bd30-4a23-40cb-9958-d0c321ccdff3"
69,"b","Mazzy Star","Still","05caed08-128d-46a8-94f7-271ef64651cf"
70,"b","Thelonius Monk","Brilliant Corners","4efb0872-1bb1-375d-bae7-7a39f5f52018"
71,"b","Thelonius Monk","Straight, No Chaser","896dbec2-4d30-465e-a048-34b6b839868c"
72,"b","Moonlandingz","Interplanetary Class Classics","6c2be362-cfdc-41da-b77e-d3a099fb822f"
73,"b","Mozart","Eine Kleine Nachtmusik","20b5a511-876c-4bfc-97a5-e9e60288f317"
74,"b","Mighty Mighty Bosstones","While We’re At It","d85908bf-bed8-461b-83f4-6ecf56d2d1bf"
75,"b","Misfits","Earth AD","7610e806-d879-43de-ae39-4f964853e9b0"
76,"b","Neu!","Neu!","abf742a9-a22e-3a3b-86c7-66dd84e7159f"
77,"b","Nada Surf","High/Low","e5648344-7e08-4131-8a60-138676d0cfef"
78,"b","Nas","Illmatic","d9942007-f52f-47a7-b072-5b6ed22489ba"
79,"b","Neutral Milk Hotel","Aeroplane Over The Sea","318eb89c-49e6-392b-ac28-708b08f89586"
80,"b","NWA","Straight Outta Compton","d930166c-e5b6-420d-8177-e62f351f6859"
81,"b","Offspring","Smash","e0ca5047-a256-4ced-9fcd-add1a255cae8"
82,"b","Perth Country Conspiracy","Does Not Exist","c9734cd5-68c8-44a5-a27d-0c8fa764a6bc"
83,"b","Prophets of Rage","Prophets of Rage","04a260f2-13a2-4d3e-a9a6-14b782e9e9da"
84,"b","Public Enemy","It takes a nation of millions to hold us back","b1cae790-d3a0-3209-87d2-cb915beaec70"
85,"b","Gregory Porter","Liquid Spirit","4a4bdf52-914d-444a-9f99-94699f76e938"
86,"b","Pure Bathing Culture","Pray for Rain","1ac62848-06dd-4f02-9448-0c32ac9f0b3a"
87,"b","Radiohead","Moon Shaped Pool","c1e20363-3790-451b-a460-a303e4842fab"
88,"b","Replacements","Dont tell a soul","15f72cea-3252-49ef-a447-9e7b93176279"
89,"b","Replacements","All Shook Down","15190a83-a1cb-4589-8f49-f2fe12a0b382"
90,"b","Replacements","Tim","e3adae32-66d6-4255-92b3-fb5bceaf3b2c"
91,"b","Replacements","Pleased to meet me","603455d0-d7a2-4d4c-bbd4-a6dc99bce1cb"
92,"b","Sad13","Slugger","934377b9-fa11-4f34-b780-98734df3c799"
93,"b","Hope Sandoval and the Warm Inventions","Son of a Lady","cd3c3652-284e-4481-ab38-54cc1129f92b"
94,"b","The Slackers","The Slackers","10829eb5-f88b-4f81-a173-f360e27f9a86"
95,"b","The Slits","Cut","77a631f8-f726-4e03-84f0-e7a3c1cfac62"
96,"b","Sneaker Pimps","Becoming X","8b8dd624-bc72-407d-9aea-94f9c4d8ab4c"
97,"b","Sea Sick Steve","Sonic Soul Surfer","bffa1707-228d-4373-8a10-cd93db62d286"
98,"b","Frank Sinatra","Ultimate Sinatra","e72b48c3-a7a9-46ea-a289-d80c9ac92926"
99,"b","Frank Sinatra","Platinum Collection","88e3df8e-3572-4344-9369-79de256d4fed"
100,"b","Nina Simone","My Baby Just Cares For Me","35839820-6f9a-4189-91eb-3df543a3e941"
